LM5l3NNVtE3bOvEG,Alarm
mdiqIXWZBt7dpnS3,CarbonDioxideMeasurement
UFJDztYghPLB8hAe,ColorControl
A8VRvAZOPUOE85Zh,DishwasherMode
xkQbVryt4VpCUhXk,DishwasherOperatingState
tvVWG4SxjVttwLeX,DoorControl
whSza1zGpeni1N6A,DryerMode
rrlw2gU9FkhfySvJ,DryerOperatingState
3Q0CHFssVraWQQcR,DustSensor
9WZ8iSlgrp3yUllM,EnergyMeter
e9qTK4uJjMu8hRay,Humidifier
pXfE0Qy4FzCccfze,Lock
YycmZuHIau3MpmoU,MotionSensor
KhPhpW35OWgZjUAw,OvenMode
NAg2ZRM6VrndZ0F0,OvenOperatingState
NnLuYt9sZ3bgUNyP,PresenceSensor
F831gG8wbRz0HFEv,RefrigerationSetpoint
ASH8QZpESZv9sB6h,RelativeHumidityMeasurement
I1Vt9m7nHOt0I9gO,RobotCleanerCleaningMode
HNN3GOkLnPfWE2Mn,SmokeDetector
LzYX6KL640QGFlbB,SoundSensor
RxkaP3yqbwMoyYfw,SwitchLevel
EGBlV8ZgZzHoXtGv,Switch
RFXUBklXGCN64Q9P,TemperatureMeasurement
2Rb3tlZGgnM2otW9,ThermostatMode
TkjOmMUy0qIAQVsS,TvChannel
WWewd3RwA1GXb5CP,Valve
dTKOvVpRgJNXm7VQ,WasherMode
1R9DoUmr9WZm7Kqd,WasherOperatingState
LfwTsHlCMoZGxBrn,WaterSensor
XowjzrBLG3XEe7Zb,WindowControl
